Gene_ID,log2FoldChange,pvalue,adj_pvalue,Function
AT1G01100,2.306661335810712,0.00651358044706439,0.010855967411773984,Heat Shock Protein 70
AT1G01070,2.453172624421976,0.0029295837597556377,0.007398654874582601,Osmotic Stress Regulator (DREB)
AT1G01540,1.816288045031019,0.0029594619498330404,0.007398654874582601,Salt Tolerance Factor
AT5G64380,1.2141248040394976,0.0045599872788432885,0.009119974557686577,Cold Acclimation Gene (CBF)
AT2G40360,0.499571008908095,0.06295742866836361,0.0786967858354545,Jasmonic Acid Defense Signaling
AT4G38900,-1.3066613364246247,0.0025413001692650007,0.007398654874582601,Photosynthesis Gene (Rubisco)
AT3G01250,1.5189649396559732,0.0012365424194596512,0.007398654874582601,ABA Response Element (AREB)
AT2G38470,0.6040713228791751,0.028334379422483374,0.04047768488926197,Iron Storage Protein
AT1G54100,-0.17508670634534357,0.10557280900008416,0.11730312111120461,General Transporter
AT5G01150,0.014075185184258652,0.8075499102701247,0.8075499102701247,Unknown Kinase
